statement_job_id,parent_job_id,statement_type,start_time,end_time,duration_sec,total_bytes_processed,total_bytes_billed,total_slot_ms,error_message
acme-analytics-prod:EU.job_20260602021309_000162_125dfb,acme-analytics-prod:EU.job_20260602021309_000161_96d4f2,CREATE_TABLE_AS_SELECT,2026-06-02 02:13:09,2026-06-02 02:13:20,11,287862633473,287863472128,68887,
acme-analytics-prod:EU.job_20260602021320_000163_0f3c71,acme-analytics-prod:EU.job_20260602021309_000161_96d4f2,MERGE,2026-06-02 02:13:20,2026-06-02 02:13:45,26,43514119013,43514855424,496330,
acme-analytics-prod:EU.job_20260602021345_000164_82a00a,acme-analytics-prod:EU.job_20260602021309_000161_96d4f2,DROP_TABLE,2026-06-02 02:13:45,2026-06-02 02:14:09,24,0,10485760,493853,
acme-analytics-prod:EU.job_20260602021322_000166_ee5acc,acme-analytics-prod:EU.job_20260602021322_000165_b37ed0,CREATE_TABLE_AS_SELECT,2026-06-02 02:13:22,2026-06-02 02:13:24,1,13261195721,13261340672,15454,
acme-analytics-prod:EU.job_20260602021324_000167_c356ef,acme-analytics-prod:EU.job_20260602021322_000165_b37ed0,MERGE,2026-06-02 02:13:24,2026-06-02 02:13:24,1,2004599353,2004877312,10006,
acme-analytics-prod:EU.job_20260602021324_000168_a8aada,acme-analytics-prod:EU.job_20260602021322_000165_b37ed0,DROP_TABLE,2026-06-02 02:13:24,2026-06-02 02:13:25,1,0,10485760,6434,
acme-analytics-prod:EU.job_20260602091404_000194_34b340,acme-analytics-prod:EU.job_20260602091404_000193_e15a83,CREATE_TABLE_AS_SELECT,2026-06-02 09:14:04,2026-06-02 09:14:08,4,36924318868,36924555264,52583,
acme-analytics-prod:EU.job_20260602091408_000195_6c5a05,acme-analytics-prod:EU.job_20260602091404_000193_e15a83,MERGE,2026-06-02 09:14:08,2026-06-02 09:14:11,3,5581583084,5582618624,48879,
acme-analytics-prod:EU.job_20260602091411_000196_aa4163,acme-analytics-prod:EU.job_20260602091404_000193_e15a83,DROP_TABLE,2026-06-02 09:14:11,2026-06-02 09:14:13,2,0,10485760,41934,
acme-analytics-prod:EU.job_20260602091507_000208_46fa52,acme-analytics-prod:EU.job_20260602091507_000207_d9d116,CREATE_TABLE_AS_SELECT,2026-06-02 09:15:07,2026-06-02 09:15:19,12,243558737053,243559038976,116722,
acme-analytics-prod:EU.job_20260602091519_000209_e717f7,acme-analytics-prod:EU.job_20260602091507_000207_d9d116,MERGE,2026-06-02 09:15:19,2026-06-02 09:15:42,23,36817018391,36817600512,366209,
acme-analytics-prod:EU.job_20260602091542_000210_327965,acme-analytics-prod:EU.job_20260602091507_000207_d9d116,DROP_TABLE,2026-06-02 09:15:42,2026-06-02 09:16:02,20,0,10485760,162197,
acme-analytics-prod:EU.job_20260602091642_000215_8a1aab,acme-analytics-prod:EU.job_20260602091642_000214_dbd27a,CREATE_TABLE_AS_SELECT,2026-06-02 09:16:42,2026-06-02 09:16:43,1,18866625730,18867027968,13355,
acme-analytics-prod:EU.job_20260602091643_000216_b722c1,acme-analytics-prod:EU.job_20260602091642_000214_dbd27a,MERGE,2026-06-02 09:16:43,2026-06-02 09:16:45,2,2851931796,2852126720,16150,
acme-analytics-prod:EU.job_20260602091645_000217_5d5f93,acme-analytics-prod:EU.job_20260602091642_000214_dbd27a,DROP_TABLE,2026-06-02 09:16:45,2026-06-02 09:16:47,3,0,10485760,51756,
acme-analytics-prod:EU.job_20260602091656_000221_7d209f,acme-analytics-prod:EU.job_20260602091656_000220_e9c74d,CREATE_TABLE_AS_SELECT,2026-06-02 09:16:56,2026-06-02 09:16:58,2,109041795738,109042466816,11130,
acme-analytics-prod:EU.job_20260602091658_000222_77f509,acme-analytics-prod:EU.job_20260602091656_000220_e9c74d,MERGE,2026-06-02 09:16:58,2026-06-02 09:17:02,4,16483062146,16483614720,72564,
acme-analytics-prod:EU.job_20260602091702_000223_fa2620,acme-analytics-prod:EU.job_20260602091656_000220_e9c74d,DROP_TABLE,2026-06-02 09:17:02,2026-06-02 09:17:04,2,0,10485760,9535,
acme-analytics-prod:EU.job_20260602130601_000240_060248,acme-analytics-prod:EU.job_20260602130601_000239_3198a4,CREATE_TABLE_AS_SELECT,2026-06-02 13:06:01,2026-06-02 13:06:02,1,18190992398,18191745024,5023,
acme-analytics-prod:EU.job_20260602130602_000241_74c94f,acme-analytics-prod:EU.job_20260602130601_000239_3198a4,MERGE,2026-06-02 13:06:02,2026-06-02 13:06:03,1,2749801176,2750414848,8878,
acme-analytics-prod:EU.job_20260602130603_000242_657512,acme-analytics-prod:EU.job_20260602130601_000239_3198a4,DROP_TABLE,2026-06-02 13:06:03,2026-06-02 13:06:04,1,0,10485760,10704,
acme-analytics-prod:EU.job_20260602130630_000250_813ce1,acme-analytics-prod:EU.job_20260602130630_000249_61ac0c,CREATE_TABLE_AS_SELECT,2026-06-02 13:06:30,2026-06-02 13:06:36,6,37156948324,37157339136,64796,
acme-analytics-prod:EU.job_20260602130636_000251_4c6369,acme-analytics-prod:EU.job_20260602130630_000249_61ac0c,MERGE,2026-06-02 13:06:36,2026-06-02 13:06:41,5,5616748002,5617221632,14488,
acme-analytics-prod:EU.job_20260602130641_000252_efda0e,acme-analytics-prod:EU.job_20260602130630_000249_61ac0c,DROP_TABLE,2026-06-02 13:06:41,2026-06-02 13:06:44,3,0,10485760,66180,
acme-analytics-prod:EU.job_20260603021936_000360_adb748,acme-analytics-prod:EU.job_20260603021936_000359_c580b7,CREATE_TABLE_AS_SELECT,2026-06-03 02:19:36,2026-06-03 02:19:38,2,31605386865,31606177792,18933,
acme-analytics-prod:EU.job_20260603021938_000361_6f4c77,acme-analytics-prod:EU.job_20260603021936_000359_c580b7,MERGE,2026-06-03 02:19:38,2026-06-03 02:19:41,3,4777558479,4778360832,60483,
acme-analytics-prod:EU.job_20260603021941_000362_970e2c,acme-analytics-prod:EU.job_20260603021936_000359_c580b7,DROP_TABLE,2026-06-03 02:19:41,2026-06-03 02:19:45,3,0,10485760,28862,
acme-analytics-prod:EU.job_20260603021954_000364_ae8a8b,acme-analytics-prod:EU.job_20260603021954_000363_ddf115,CREATE_TABLE_AS_SELECT,2026-06-03 02:19:54,2026-06-03 02:20:09,15,123834336991,123834728448,177245,
acme-analytics-prod:EU.job_20260603022009_000365_989240,acme-analytics-prod:EU.job_20260603021954_000363_ddf115,MERGE,2026-06-03 02:20:09,2026-06-03 02:20:16,7,18719143963,18719178752,115065,
acme-analytics-prod:EU.job_20260603022016_000366_aac210,acme-analytics-prod:EU.job_20260603021954_000363_ddf115,DROP_TABLE,2026-06-03 02:20:16,2026-06-03 02:20:32,16,0,10485760,241628,
acme-analytics-prod:EU.job_20260603022008_000370_25f54c,acme-analytics-prod:EU.job_20260603022008_000369_6c20d1,CREATE_TABLE_AS_SELECT,2026-06-03 02:20:08,2026-06-03 02:20:31,23,218083322735,218083885056,512244,
acme-analytics-prod:EU.job_20260603022031_000371_bc0849,acme-analytics-prod:EU.job_20260603022008_000369_6c20d1,MERGE,2026-06-03 02:20:31,2026-06-03 02:20:46,15,32966083669,32966180864,158161,
acme-analytics-prod:EU.job_20260603022046_000372_ba86af,acme-analytics-prod:EU.job_20260603022008_000369_6c20d1,DROP_TABLE,2026-06-03 02:20:46,2026-06-03 02:21:16,30,0,10485760,274949,
acme-analytics-prod:EU.job_20260603022042_000374_41360d,acme-analytics-prod:EU.job_20260603022042_000373_d541ff,CREATE_TABLE_AS_SELECT,2026-06-03 02:20:42,2026-06-03 02:20:44,1,17017772462,17018388480,19859,
acme-analytics-prod:EU.job_20260603022044_000375_39c40d,acme-analytics-prod:EU.job_20260603022042_000373_d541ff,MERGE,2026-06-03 02:20:44,2026-06-03 02:20:45,1,2572453976,2573205504,11657,
acme-analytics-prod:EU.job_20260603022045_000376_e9f1df,acme-analytics-prod:EU.job_20260603022042_000373_d541ff,DROP_TABLE,2026-06-03 02:20:45,2026-06-03 02:20:45,1,0,10485760,17483,
acme-analytics-prod:EU.job_20260603094004_000402_b0f9a6,acme-analytics-prod:EU.job_20260603094004_000401_646fb3,CREATE_TABLE_AS_SELECT,2026-06-03 09:40:04,2026-06-03 09:40:05,1,37734441703,37735104512,9925,
acme-analytics-prod:EU.job_20260603094005_000403_e23f67,acme-analytics-prod:EU.job_20260603094004_000401_646fb3,MERGE,2026-06-03 09:40:05,2026-06-03 09:40:06,1,5704043513,5704253440,8305,
acme-analytics-prod:EU.job_20260603094006_000404_e457d4,acme-analytics-prod:EU.job_20260603094004_000401_646fb3,DROP_TABLE,2026-06-03 09:40:06,2026-06-03 09:40:06,1,0,10485760,3195,
acme-analytics-prod:EU.job_20260603094109_000417_129fad,acme-analytics-prod:EU.job_20260603094109_000416_58b204,CREATE_TABLE_AS_SELECT,2026-06-03 09:41:09,2026-06-03 09:41:46,37,213046872769,213047574528,112850,
acme-analytics-prod:EU.job_20260603094146_000418_9f1a78,acme-analytics-prod:EU.job_20260603094109_000416_58b204,MERGE,2026-06-03 09:41:46,2026-06-03 09:42:14,27,32204759837,32204914688,471601,
acme-analytics-prod:EU.job_20260603094214_000419_86af44,acme-analytics-prod:EU.job_20260603094109_000416_58b204,DROP_TABLE,2026-06-03 09:42:14,2026-06-03 09:42:34,20,0,10485760,231804,
acme-analytics-prod:EU.job_20260603094249_000422_3c9fc1,acme-analytics-prod:EU.job_20260603094249_000421_08d34d,CREATE_TABLE_AS_SELECT,2026-06-03 09:42:49,2026-06-03 09:42:50,1,18979995844,18980274176,7792,
acme-analytics-prod:EU.job_20260603094250_000423_ce7912,acme-analytics-prod:EU.job_20260603094249_000421_08d34d,MERGE,2026-06-03 09:42:50,2026-06-03 09:42:50,1,2869069139,2869952512,16807,
acme-analytics-prod:EU.job_20260603094250_000424_b04844,acme-analytics-prod:EU.job_20260603094249_000421_08d34d,DROP_TABLE,2026-06-03 09:42:50,2026-06-03 09:42:51,1,0,10485760,3783,
acme-analytics-prod:EU.job_20260603094326_000429_7d38ec,acme-analytics-prod:EU.job_20260603094326_000428_dc1fd4,CREATE_TABLE_AS_SELECT,2026-06-03 09:43:26,2026-06-03 09:43:31,5,102052551676,102052659200,100739,
acme-analytics-prod:EU.job_20260603094331_000430_db5f34,acme-analytics-prod:EU.job_20260603094326_000428_dc1fd4,MERGE,2026-06-03 09:43:31,2026-06-03 09:43:35,3,15426548509,15426650112,73210,
acme-analytics-prod:EU.job_20260603094335_000431_2ac281,acme-analytics-prod:EU.job_20260603094326_000428_dc1fd4,DROP_TABLE,2026-06-03 09:43:35,2026-06-03 09:43:39,4,0,10485760,11349,
acme-analytics-prod:EU.job_20260603122625_000443_65f2fa,acme-analytics-prod:EU.job_20260603122625_000442_a4e618,CREATE_TABLE_AS_SELECT,2026-06-03 12:26:25,2026-06-03 12:26:27,1,38720099797,38720765952,23278,
acme-analytics-prod:EU.job_20260603122627_000444_14d0e9,acme-analytics-prod:EU.job_20260603122625_000442_a4e618,MERGE,2026-06-03 12:26:27,2026-06-03 12:26:27,1,5853038341,5853151232,9268,
acme-analytics-prod:EU.job_20260603122627_000445_b1d8e6,acme-analytics-prod:EU.job_20260603122625_000442_a4e618,DROP_TABLE,2026-06-03 12:26:27,2026-06-03 12:26:29,2,0,10485760,3364,
acme-analytics-prod:EU.job_20260604020337_000538_987964,acme-analytics-prod:EU.job_20260604020337_000537_cb6344,CREATE_TABLE_AS_SELECT,2026-06-04 02:03:37,2026-06-04 02:03:40,3,32057214498,32058114048,19773,
acme-analytics-prod:EU.job_20260604020340_000539_4bae8a,acme-analytics-prod:EU.job_20260604020337_000537_cb6344,MERGE,2026-06-04 02:03:40,2026-06-04 02:03:44,4,4845858005,4846518272,66564,
acme-analytics-prod:EU.job_20260604020344_000540_933f12,acme-analytics-prod:EU.job_20260604020337_000537_cb6344,DROP_TABLE,2026-06-04 02:03:44,2026-06-04 02:03:46,2,0,10485760,33115,
acme-analytics-prod:EU.job_20260604020342_000543_4870cb,acme-analytics-prod:EU.job_20260604020342_000542_f5086b,CREATE_TABLE_AS_SELECT,2026-06-04 02:03:42,2026-06-04 02:03:49,7,91995499699,91995766784,61881,
acme-analytics-prod:EU.job_20260604020349_000544_2006ac,acme-analytics-prod:EU.job_20260604020342_000542_f5086b,MERGE,2026-06-04 02:03:49,2026-06-04 02:03:58,9,13906296466,13907263488,76664,
acme-analytics-prod:EU.job_20260604020358_000545_830e28,acme-analytics-prod:EU.job_20260604020342_000542_f5086b,DROP_TABLE,2026-06-04 02:03:58,2026-06-04 02:04:11,13,0,10485760,82765,
acme-analytics-prod:EU.job_20260604020358_000549_78a2dd,acme-analytics-prod:EU.job_20260604020358_000548_dd96de,CREATE_TABLE_AS_SELECT,2026-06-04 02:03:58,2026-06-04 02:04:09,10,201326378050,201326592000,114002,
acme-analytics-prod:EU.job_20260604020409_000550_b50078,acme-analytics-prod:EU.job_20260604020358_000548_dd96de,MERGE,2026-06-04 02:04:09,2026-06-04 02:04:26,17,30433057147,30433869824,288282,
acme-analytics-prod:EU.job_20260604020426_000551_6430c5,acme-analytics-prod:EU.job_20260604020358_000548_dd96de,DROP_TABLE,2026-06-04 02:04:26,2026-06-04 02:04:48,23,0,10485760,68202,
acme-analytics-prod:EU.job_20260604020447_000553_442787,acme-analytics-prod:EU.job_20260604020447_000552_45339a,CREATE_TABLE_AS_SELECT,2026-06-04 02:04:47,2026-06-04 02:04:47,1,16952781011,16953376768,12051,
acme-analytics-prod:EU.job_20260604020447_000554_e29e0b,acme-analytics-prod:EU.job_20260604020447_000552_45339a,MERGE,2026-06-04 02:04:47,2026-06-04 02:04:48,1,2562629687,2562719744,14033,
acme-analytics-prod:EU.job_20260604020448_000555_6fc3ca,acme-analytics-prod:EU.job_20260604020447_000552_45339a,DROP_TABLE,2026-06-04 02:04:48,2026-06-04 02:04:49,0,0,10485760,6931,
acme-analytics-prod:EU.job_20260604115400_000580_85172a,acme-analytics-prod:EU.job_20260604115400_000579_f8a89e,CREATE_TABLE_AS_SELECT,2026-06-04 11:54:00,2026-06-04 11:54:03,3,41082077443,41082159104,44007,
acme-analytics-prod:EU.job_20260604115403_000581_754cb1,acme-analytics-prod:EU.job_20260604115400_000579_f8a89e,MERGE,2026-06-04 11:54:03,2026-06-04 11:54:05,2,6210081474,6210715648,26176,
acme-analytics-prod:EU.job_20260604115405_000582_4e34ff,acme-analytics-prod:EU.job_20260604115400_000579_f8a89e,DROP_TABLE,2026-06-04 11:54:05,2026-06-04 11:54:07,2,0,10485760,34310,
acme-analytics-prod:EU.job_20260604161213_000626_3fd848,acme-analytics-prod:EU.job_20260604161213_000625_862d4f,CREATE_TABLE_AS_SELECT,2026-06-04 16:12:13,2026-06-04 16:12:16,3,132105841195,132105895936,8513,
acme-analytics-prod:EU.job_20260604161216_000627_fc4e24,acme-analytics-prod:EU.job_20260604161213_000625_862d4f,MERGE,2026-06-04 16:12:16,2026-06-04 16:12:21,5,19969487622,19970129920,46703,
acme-analytics-prod:EU.job_20260604161221_000628_2b83d9,acme-analytics-prod:EU.job_20260604161213_000625_862d4f,DROP_TABLE,2026-06-04 16:12:21,2026-06-04 16:12:23,2,0,10485760,25608,
acme-analytics-prod:EU.job_20260604161259_000635_71156f,acme-analytics-prod:EU.job_20260604161259_000634_d50027,CREATE_TABLE_AS_SELECT,2026-06-04 16:12:59,2026-06-04 16:13:00,1,19719632830,19720568832,9085,
acme-analytics-prod:EU.job_20260604161300_000636_494ad2,acme-analytics-prod:EU.job_20260604161259_000634_d50027,MERGE,2026-06-04 16:13:00,2026-06-04 16:13:00,0,2980874730,2981101568,890,
acme-analytics-prod:EU.job_20260604161300_000637_ec68e7,acme-analytics-prod:EU.job_20260604161259_000634_d50027,DROP_TABLE,2026-06-04 16:13:00,2026-06-04 16:13:01,1,0,10485760,9380,
acme-analytics-prod:EU.job_20260604161318_000643_152fe2,acme-analytics-prod:EU.job_20260604161318_000642_7e4f50,CREATE_TABLE_AS_SELECT,2026-06-04 16:13:18,2026-06-04 16:13:22,4,35203378224,35203842048,37313,
acme-analytics-prod:EU.job_20260604161322_000644_13e793,acme-analytics-prod:EU.job_20260604161318_000642_7e4f50,MERGE,2026-06-04 16:13:22,2026-06-04 16:13:25,3,5321440894,5321523200,57191,
acme-analytics-prod:EU.job_20260604161325_000645_599f58,acme-analytics-prod:EU.job_20260604161318_000642_7e4f50,DROP_TABLE,2026-06-04 16:13:25,2026-06-04 16:13:27,2,0,10485760,17353,
acme-analytics-prod:EU.job_20260604161346_000651_e5ba9d,acme-analytics-prod:EU.job_20260604161346_000650_ac9bde,CREATE_TABLE_AS_SELECT,2026-06-04 16:13:46,2026-06-04 16:13:58,12,249907219178,249908166656,38719,
acme-analytics-prod:EU.job_20260604161358_000652_6d2a95,acme-analytics-prod:EU.job_20260604161346_000650_ac9bde,MERGE,2026-06-04 16:13:58,2026-06-04 16:14:12,14,37776672666,37777047552,134954,
acme-analytics-prod:EU.job_20260604161412_000653_fd5d7d,acme-analytics-prod:EU.job_20260604161346_000650_ac9bde,DROP_TABLE,2026-06-04 16:14:12,2026-06-04 16:14:27,15,0,10485760,240107,
acme-analytics-prod:EU.job_20260605021739_000733_c6c7ec,acme-analytics-prod:EU.job_20260605021739_000732_86f52f,CREATE_TABLE_AS_SELECT,2026-06-05 02:17:39,2026-06-05 02:17:41,2,36222923786,36223057920,5037,
acme-analytics-prod:EU.job_20260605021741_000734_be587b,acme-analytics-prod:EU.job_20260605021739_000732_86f52f,MERGE,2026-06-05 02:17:41,2026-06-05 02:17:42,1,5475558246,5475663872,17433,
acme-analytics-prod:EU.job_20260605021742_000735_e67bd1,acme-analytics-prod:EU.job_20260605021739_000732_86f52f,DROP_TABLE,2026-06-05 02:17:42,2026-06-05 02:17:46,3,0,10485760,61507,
acme-analytics-prod:EU.job_20260605021747_000737_31e11a,acme-analytics-prod:EU.job_20260605021747_000736_48473a,CREATE_TABLE_AS_SELECT,2026-06-05 02:17:47,2026-06-05 02:17:59,12,108663454502,108663930880,118962,
acme-analytics-prod:EU.job_20260605021759_000738_c4352a,acme-analytics-prod:EU.job_20260605021747_000736_48473a,MERGE,2026-06-05 02:17:59,2026-06-05 02:18:12,13,16425871029,16425943040,22493,
acme-analytics-prod:EU.job_20260605021812_000739_e1dcf6,acme-analytics-prod:EU.job_20260605021747_000736_48473a,DROP_TABLE,2026-06-05 02:18:12,2026-06-05 02:18:26,14,0,10485760,115070,
acme-analytics-prod:EU.job_20260605021820_000743_6d8caa,acme-analytics-prod:EU.job_20260605021820_000742_97af66,CREATE_TABLE_AS_SELECT,2026-06-05 02:18:20,2026-06-05 02:18:57,37,281539047990,281539510272,255466,
acme-analytics-prod:EU.job_20260605021857_000744_bfd2b3,acme-analytics-prod:EU.job_20260605021820_000742_97af66,MERGE,2026-06-05 02:18:57,2026-06-05 02:19:39,41,42558228184,42558554112,234600,
acme-analytics-prod:EU.job_20260605021939_000745_c79b0f,acme-analytics-prod:EU.job_20260605021820_000742_97af66,DROP_TABLE,2026-06-05 02:19:39,2026-06-05 02:20:20,41,0,10485760,709600,
acme-analytics-prod:EU.job_20260605021858_000747_0b6894,acme-analytics-prod:EU.job_20260605021858_000746_b1f6b5,CREATE_TABLE_AS_SELECT,2026-06-05 02:18:58,2026-06-05 02:19:01,3,16085785998,16086204416,55485,
acme-analytics-prod:EU.job_20260605021901_000748_cdf9e4,acme-analytics-prod:EU.job_20260605021858_000746_b1f6b5,MERGE,2026-06-05 02:19:01,2026-06-05 02:19:03,2,2431572302,2431647744,18580,
acme-analytics-prod:EU.job_20260605021903_000749_1dba68,acme-analytics-prod:EU.job_20260605021858_000746_b1f6b5,DROP_TABLE,2026-06-05 02:19:03,2026-06-05 02:19:06,3,0,10485760,9438,
acme-analytics-prod:EU.job_20260605094122_000782_c3e781,acme-analytics-prod:EU.job_20260605094122_000781_03e3e6,CREATE_TABLE_AS_SELECT,2026-06-05 09:41:22,2026-06-05 09:41:25,2,126096135216,126096506880,18442,
acme-analytics-prod:EU.job_20260605094125_000783_f5e366,acme-analytics-prod:EU.job_20260605094122_000781_03e3e6,MERGE,2026-06-05 09:41:25,2026-06-05 09:41:28,4,19061043695,19062063104,19574,
acme-analytics-prod:EU.job_20260605094128_000784_572e7c,acme-analytics-prod:EU.job_20260605094122_000781_03e3e6,DROP_TABLE,2026-06-05 09:41:28,2026-06-05 09:41:31,2,0,10485760,8408,
acme-analytics-prod:EU.job_20260605094203_000789_93b429,acme-analytics-prod:EU.job_20260605094203_000788_7359ab,CREATE_TABLE_AS_SELECT,2026-06-05 09:42:03,2026-06-05 09:42:04,1,33979250556,33980153856,6661,
acme-analytics-prod:EU.job_20260605094204_000790_383282,acme-analytics-prod:EU.job_20260605094203_000788_7359ab,MERGE,2026-06-05 09:42:04,2026-06-05 09:42:05,1,5136398339,5136973824,8876,
acme-analytics-prod:EU.job_20260605094205_000791_c72974,acme-analytics-prod:EU.job_20260605094203_000788_7359ab,DROP_TABLE,2026-06-05 09:42:05,2026-06-05 09:42:06,1,0,10485760,7500,
acme-analytics-prod:EU.job_20260605094230_000799_bd8307,acme-analytics-prod:EU.job_20260605094230_000798_d8a8b1,CREATE_TABLE_AS_SELECT,2026-06-05 09:42:30,2026-06-05 09:42:43,13,249289853645,249290555392,24943,
acme-analytics-prod:EU.job_20260605094243_000800_cf3042,acme-analytics-prod:EU.job_20260605094230_000798_d8a8b1,MERGE,2026-06-05 09:42:43,2026-06-05 09:42:59,15,37683349969,37683724288,120729,
acme-analytics-prod:EU.job_20260605094259_000801_19569f,acme-analytics-prod:EU.job_20260605094230_000798_d8a8b1,DROP_TABLE,2026-06-05 09:42:59,2026-06-05 09:43:08,9,0,10485760,136561,
acme-analytics-prod:EU.job_20260605094458_000804_ff5b1c,acme-analytics-prod:EU.job_20260605094458_000803_1e455e,CREATE_TABLE_AS_SELECT,2026-06-05 09:44:58,2026-06-05 09:44:59,1,19435922578,19436404736,2915,
acme-analytics-prod:EU.job_20260605094459_000805_a1cb56,acme-analytics-prod:EU.job_20260605094458_000803_1e455e,MERGE,2026-06-05 09:44:59,2026-06-05 09:45:00,1,2937988296,2938109952,2164,
acme-analytics-prod:EU.job_20260605094500_000806_c75116,acme-analytics-prod:EU.job_20260605094458_000803_1e455e,DROP_TABLE,2026-06-05 09:45:00,2026-06-05 09:45:01,1,0,10485760,14632,
acme-analytics-prod:EU.job_20260606021041_000882_d4ee9e,acme-analytics-prod:EU.job_20260606021041_000881_d43270,CREATE_TABLE_AS_SELECT,2026-06-06 02:10:41,2026-06-06 02:10:43,1,40358915502,40359690240,27083,
acme-analytics-prod:EU.job_20260606021043_000883_f54a63,acme-analytics-prod:EU.job_20260606021041_000881_d43270,MERGE,2026-06-06 02:10:43,2026-06-06 02:10:43,1,6100766296,6101663744,4342,
acme-analytics-prod:EU.job_20260606021043_000884_aa34cb,acme-analytics-prod:EU.job_20260606021041_000881_d43270,DROP_TABLE,2026-06-06 02:10:43,2026-06-06 02:10:44,1,0,10485760,1756,
acme-analytics-prod:EU.job_20260606021053_000887_3fd183,acme-analytics-prod:EU.job_20260606021053_000886_51ba28,CREATE_TABLE_AS_SELECT,2026-06-06 02:10:53,2026-06-06 02:11:00,7,104401159245,104401469440,153958,
acme-analytics-prod:EU.job_20260606021100_000888_6f8a2b,acme-analytics-prod:EU.job_20260606021053_000886_51ba28,MERGE,2026-06-06 02:11:00,2026-06-06 02:11:07,6,15781570583,15782117376,50219,
acme-analytics-prod:EU.job_20260606021107_000889_615b8f,acme-analytics-prod:EU.job_20260606021053_000886_51ba28,DROP_TABLE,2026-06-06 02:11:07,2026-06-06 02:11:16,10,0,10485760,194655,
