node_id,model_name,alias,layer,sublayer,materialization,schema_name,database_name,package_name,path,checksum,tags,meta,upstream_count
model.acme_warehouse.fct_sessions,fct_sessions,fct_sessions,warehouse,fact,incremental,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/fact/fct_sessions.sql,sha256:fct_sess,"warehouse, critical",{},3
model.acme_warehouse.fct_impressions,fct_impressions,fct_impressions,warehouse,fact,incremental,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/fact/fct_impressions.sql,sha256:fct_impr,"warehouse, critical",{},2
model.acme_warehouse.fct_spend,fct_spend,fct_spend,warehouse,fact,incremental,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/fact/fct_spend.sql,sha256:fct_spen,warehouse,{},3
model.acme_warehouse.fct_attribution,fct_attribution,fct_attribution,warehouse,fact,table,analytics,acme-analytics-prod,acme_warehouse,models/warehouse/fact/fct_attribution.sql,sha256:fct_attr,"warehouse, critical",{},4
model.acme_warehouse.mart_revenue_daily,mart_revenue_daily,mart_revenue_daily,marts,revenue,table,analytics,acme-analytics-prod,acme_warehouse,models/marts/revenue/mart_revenue_daily.sql,sha256:mart_rev,marts,{},3
model.acme_warehouse.mart_channel_perf,mart_channel_perf,mart_channel_perf,marts,marketing,table,analytics,acme-analytics-prod,acme_warehouse,models/marts/marketing/mart_channel_perf.sql,sha256:mart_cha,marts,{},4
model.acme_warehouse.mart_customer_ltv,mart_customer_ltv,mart_customer_ltv,marts,revenue,table,analytics,acme-analytics-prod,acme_warehouse,models/marts/revenue/mart_customer_ltv.sql,sha256:mart_cus,marts,{},3
model.acme_warehouse.mart_campaign_roi,mart_campaign_roi,mart_campaign_roi,marts,marketing,table,analytics,acme-analytics-prod,acme_warehouse,models/marts/marketing/mart_campaign_roi.sql,sha256:mart_cam,marts,{},4
model.acme_warehouse.mart_funnel,mart_funnel,mart_funnel,marts,marketing,table,analytics,acme-analytics-prod,acme_warehouse,models/marts/marketing/mart_funnel.sql,sha256:mart_fun,marts,{},3
model.acme_warehouse.mart_cohorts,mart_cohorts,mart_cohorts,marts,revenue,table,analytics,acme-analytics-prod,acme_warehouse,models/marts/revenue/mart_cohorts.sql,sha256:mart_coh,"marts, expensive",{},2
snapshot.acme_warehouse.snap_customer_tier,snap_customer_tier,snap_customer_tier,(root),,snapshot,analytics,acme-analytics-prod,acme_warehouse,snapshots/snap_customer_tier.sql,sha256:snap_cus,snapshot,{},1
snapshot.acme_warehouse.snap_product_price,snap_product_price,snap_product_price,(root),,snapshot,analytics,acme-analytics-prod,acme_warehouse,snapshots/snap_product_price.sql,sha256:snap_pro,snapshot,{},1
